id,title,media,sequence,privacy,canMarket,sfw,caption,price,bowAgreements,benefitting,year,medium,materials,dimensions,location,geo,genre,subset,references,languages,credits,pressLink,distributor,tags,createdAt,updatedAt,userId
1,An Introduction to Domina Mara,,1,1,TRUE,FALSE,"I hail from international waters with Chinese, Filipino, and Spanish blood. My tropical exotic mix has taught me to be conversational in Spanish, and to have an ear for Brazilian Portuguese. My career began in 2013 as a professional BDSM player at a local dungeon in Los Angeles, and created a solid foundation for my knowledge of Bondage, Discipline, Dominance, Submission, and Sado-Masochism. As a Dominant, my greatest joy is watching you transform into the most humble and genuine submissive with PURPOSE.",,TRUE,,2018,Film,,1080P; 2:08,,,,,,Title in English,"Written + Directed by Domina Mara, featuring sub AV, filmed in collaboration with Love as a Fetish.",,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,3
2,Leopard Lioness: Leo Laying,,7,1,TRUE,TRUE,"Were you aware that there is such a thing as a leopard x lion mix?  This Panthera Hybrid is named a Leopon.  My solar + lunar signs are Leo, the Lion, and my birth month is August.  The dress I chose to represent my sensual, sleek feline attributes was a satin leopard print with a matching pair of designer sunglasses to add mystery.  I added leather gloves + shoes to accompany the outfit as well as a sharp crop, to ensure a stinging bite.",,TRUE,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara].,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,3
3,Oracle,,6,1,TRUE,TRUE,"As seen in Ancient Greek Mythology, the Owl is Athena’s sacred animal for Her unparalleled intelligence, war stratagems, and innovation of crafty tools. In this introductory short film, Goddess Mara has embodied this bird of prey to showcase Her skills as a flow artist, fire dancer, and character performer. Silk fans, fire fans, fire torches, a parasol, and isis wings are combined with dance to create a narrative of how Her existence has ensnared mankind.",,TRUE,,2020,Film,,1080P; 3:24,,,,,,Title in English,"Written + Directed by Domina Mara, featuring Silvio A, filmed by Landon Donoho",,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,3
4,Garnet + Guard:  Any Good News?,,8,1,TRUE,TRUE,"Garnet is the January birth stone and the crimson, pink, gold, and green colors are a nice bridge from the holiday season.  Red is also a symbol for good luck and happiness in Chinese culture.  This calendar year celebrates the year of the dog in the Chinese Zodiac, hence my guard pup~  This is a story on how the Mistress lead us form the garden into the building, up the hotel, and into a room where the sensuality can finally occur behind closed doors…",,TRUE,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara + pup AV].,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,3
5,Mommy Time: Sleep Little Lambs,,9,1,TRUE,TRUE,"This metaphorical series is dedicated to Mother’s Day and the quality time our Mommys have given to us since our innocent birth to help nurture us into who we are today.  Since I also choose not to have any children of My own, My submissives are who I care for.",,TRUE,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara].,https://youtu.be/L4Bk3whB864,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,3
6,Poppy + Puppy:  Ball Toss,,10,1,TRUE,TRUE,"I was given a K9 mask, collar, and leash by Stockroom Design to create a kinky concept and came up with a weekend playing with My pup in the poppy fields during the Superbloom. **NO FLOWERS WERE HARMED - all fields are photoshopped over trails**",,TRUE,,2019,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,"Visual Concept + Editing by Domina Mara, featuring Fetish Fellow, shot by AV.",https://youtu.be/yTbMTp_QWg8,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,3
7,MONUMENT TO THE UNCOUPLE,,4,1,TRUE,FALSE,"Through this performance score, I want to explore what it means to be uncoupled; what exactly constructs a union if that union isn’t ratified by the state? If we aren’t interested in engaging in a marital agreement for the purpose of obtaining property, nor for the heterosexual bio-utility of production, then divorce isn’t about loss, because there was no property in the first place. Divorce becomes a celebration, an empty space from which the next evolution can take place; the uncoupling is the release from the container, a choreographed event of care, a maintenance of intimacy via deconstruction",,TRUE,,2019,performance,,,"Galveston, TX",,relational aesthetics,,Marriage,,"Photos by Junior Fernandez, featuring Anastasia Vayner",,,"{divorce,marriage,monument,performance art}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,4
8,MARRIAGE,,3,1,TRUE,TRUE,"The performance of a union >> “During this hour of consciousness, the couple has requested to be collected into a membrane all unto themselves, a cocoon  to identify this instance of union and desire, and to give their present a formlessness, from which could emerge all possible forms.”",,TRUE,,2018,performance,,,"New York, NY",,relational aesthetics,,,,"Photos by Ursula Barker, featuring Anastasia Vayner",,,"{marriage,desire,performance art}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,4
9,PARTICIPATION TROPHY,,2,1,TRUE,FALSE,"An anthology zine about intimacy and agreements, written in the form of love letters.",20,TRUE,,2020,zine,,"5 1/2 x 8 1/2"" zine, 32 pages","Texas, New York","Austin, Houston, NYC",relational aesthetics,,"Marriage, Monument to the Uncouple, On Multiculturalism and Desire",English,,,,"{zine,letter,marriage,SM,objecthood,art history}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,4
10,ON MULTICULTURALISM AND DESIRE,,5,1,TRUE,TRUE,"A love letter, written in multiple points of time.",,TRUE,,2019,essay,,3 pages,"New York, NY","LA,NYC",relational aesthetics,,,English,,,,"{essay,letter,theory of a young girl,love letter}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,4
