id,title,fileName,File Type,externalUrl,sequence,Privacy Controls,canMarket,sfw,caption,price,bowAgreements,benefitting,year,medium,materials,dimensions,location,geo,genre,subset,references,languages,credits,pressLink,distributor,techSpecs,tags,createdAt,updatedAt,userId
1,Leopard Lioness: Leo Laying,Domina_Mara_IMG_4036-sm.png,Image,,7,1,TRUE,TRUE,"Were you aware that there is such a thing as a leopard x lion mix?  This Panthera Hybrid is named a Leopon.  My solar + lunar signs are Leo, the Lion, and my birth month is August.  The dress I chose to represent my sensual, sleek feline attributes was a satin leopard print with a matching pair of designer sunglasses to add mystery.  I added leather gloves + shoes to accompany the outfit as well as a sharp crop, to ensure a stinging bite.",,TRUE,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara].,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,3
2,Garnet + Guard:  Any Good News?,Domina_Mara_IMG_3321-sm.png,Image,,8,1,TRUE,TRUE,"Garnet is the January birth stone and the crimson, pink, gold, and green colors are a nice bridge from the holiday season.  Red is also a symbol for good luck and happiness in Chinese culture.  This calendar year celebrates the year of the dog in the Chinese Zodiac, hence my guard pup~  This is a story on how the Mistress lead us form the garden into the building, up the hotel, and into a room where the sensuality can finally occur behind closed doors…",,TRUE,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara + pup AV].,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,3
3,Mommy Time: Sleep Little Lambs,Domina_Mara_IMG_2481-sm.jpg,Image,,9,1,TRUE,TRUE,"This metaphorical series is dedicated to Mother’s Day and the quality time our Mommys have given to us since our innocent birth to help nurture us into who we are today.  Since I also choose not to have any children of My own, My submissives are who I care for.",,TRUE,,2017,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,Self-portrait [Domina Mara].,https://youtu.be/L4Bk3whB864,,Press Links are recap videos of art shows the pieces were featured in.,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,3
4,Poppy + Puppy:  Ball Toss,Domina_Mara_IMG_5654-sm.png,Image,,10,1,TRUE,TRUE,"I was given a K9 mask, collar, and leash by Stockroom Design to create a kinky concept and came up with a weekend playing with My pup in the poppy fields during the Superbloom. **NO FLOWERS WERE HARMED - all fields are photoshopped over trails**",,TRUE,,2019,Photography / Print,,"Available Sizes from 4x6"" to 20x30""",,,,,,Title in English,"Visual Concept + Editing by Domina Mara, featuring Fetish Fellow, shot by AV.",https://youtu.be/yTbMTp_QWg8,,Press Links are recap videos of art shows the pieces were featured in.,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,3
5,MONUMENT TO THE UNCOUPLE,Empress_Wu_DIVORCE.jpg,Image,,4,1,TRUE,FALSE,"Through this performance score, I want to explore what it means to be uncoupled; what exactly constructs a union if that union isn’t ratified by the state? If we aren’t interested in engaging in a marital agreement for the purpose of obtaining property, nor for the heterosexual bio-utility of production, then divorce isn’t about loss, because there was no property in the first place. Divorce becomes a celebration, an empty space from which the next evolution can take place; the uncoupling is the release from the container, a choreographed event of care, a maintenance of intimacy via deconstruction",,TRUE,,2019,performance,,,"Galveston, TX",,relational aesthetics,,Marriage,,"Photos by Junior Fernandez, featuring Anastasia Vayner",,,photo of a performance,"{divorce,marriage,monument,performance art}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,4
6,MARRIAGE,Empress_Wu_MARRIAGE_1.jpg,Image,,3,1,TRUE,TRUE,"The performance of a union >> “During this hour of consciousness, the couple has requested to be collected into a membrane all unto themselves, a cocoon  to identify this instance of union and desire, and to give their present a formlessness, from which could emerge all possible forms.”",,TRUE,,2018,performance,,,"New York, NY",,relational aesthetics,,,,"Photos by Ursula Barker, featuring Anastasia Vayner",,,photo of a performance,"{marriage,desire,performance art}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,4
7,PARTICIPATION TROPHY,Empress_Wu_WU_Participation_trophy_1.JPG,Image,,2,1,TRUE,FALSE,"An anthology zine about intimacy and agreements, written in the form of love letters.",20,TRUE,,2020,zine,,"5 1/2 x 8 1/2"" zine, 32 pages","Texas, New York","Austin, Houston, NYC",relational aesthetics,,"Marriage, Monument to the Uncouple, On Multiculturalism and Desire",English,,,,Screenshot of zine,"{zine,letter,marriage,SM,objecthood,art history}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,4
8,ON MULTICULTURALISM AND DESIRE,Empress_Wu_ON_MULTICULTURALISM_AND_DESIRE.pdf,Document,https://www.yumpu.com/en/document/read/65288931/empress-wu-on-multiculturalism-and-desire,5,1,TRUE,TRUE,"A love letter, written in multiple points of time.",,TRUE,,2019,essay,,3 pages,"New York, NY","LA,NYC",relational aesthetics,,,English,,,,,"{essay,letter,theory of a young girl,love letter}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,4
9,MEATSPACE,Empress_Wu_MEATSPACE_1.jpg,Image,,6,1,TRUE,FALSE,"Empress Wu's terrible utopia, where all subs are ripe for feasting.",,TRUE,,2019,photography,,,"New York, NY",,,,Frances Bacon's Figure with Meat,,"Photos by Lanee Bird, Makeup by Cass Raimundi",,,,"{photograph,carnivore,SM,BDSM,pig}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,4
10,Veil Machine Presents: E-VICTION,Empress_Wu_EVICTION_DESTRUCTION.png,Image,,7,1,TRUE,TRUE,"E-Viction is a virtual arthouse / whore gallery event that existed for 12 hours before self-destructing. Log on and be seduced by our virtual peepshow where you’ll have intimate encounters with sex workers and artists making art and sex live on cam. Scroll through performers’ ads, shop art and sex objects at our E-Banned shop, learn about legislation that threatens sex workers and free speech online, join raunchy chat rooms, and protest digital gentrification. But be sure to tune in before it’s all gone at midnight. E-Viction is the only deplatforming you can prepare for in advance.",,TRUE,,2020,"performance,digital installation",,12 hour event,"New York, NY",US,"relational aesthetics,participatory art",,"On Multiculturalism and Desire, Meatspace","English,Spanish","Crew: Aarati Akkapeddi, Rena Li, Minxy Lopez, Samone, Urzulka, Abe, Shayla Lange, Lady Euphoria, Yves, Olive. E-Viction is produced by Veil Machine as part of the 2020 Rapid Response residency at Eyebeam and supported by Kink Out Events.",https://www.vice.com/en_us/article/jgxbag/sex-workers-earn-it-virtual-protest-e-viction,,screenshot of destruction,"{sex work,performance,protest,event}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,4
11,Gxd is a Hooker and Heaven is a Cash Only Establishment,Fera_Lorde_GxdIsAHooker_2020.jpeg,Image,,1,1,TRUE,TRUE,A portrait of gxd,,TRUE,,2020,Mixed Media with Beeswax and 24K gold on birch,,"30"" x 60"" x 1.5""",Brooklyn,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
12,Shame [can be a void or a mirror],Fera_Lorde_Shame_2020.jpg,Image,,8,1,TRUE,TRUE,"An altar for my brother, part of a series of meditations on death",,TRUE,,2020,Mixed Media with ashes and silver on birch,,"48"" round x 1.5""",Brooklyn,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
13,Death Fetish,Fera_Lorde_Lorde_Fera_DeathFetish_MixedMedia_48x48.png,Image,,3,1,TRUE,TRUE,A part of a series of meditations on death,,TRUE,,2017,"Mixed Media with Milk,Goldleaf,Hair,and Resin on birch",,"48"" x 48"" x 2""",Chicago and Seattle,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
14,Tru Luv,Fera_Lorde_Lorde_truluv.jpg,Image,,2,1,TRUE,TRUE,Self portrait,,TRUE,,2020,"Mixed Media with roses,blood and money on birch",,"24"" x 36"" x 1.5""",brooklyn,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
15,Maëva,Fera_Lorde_Lorde_Fera_Maeva_MixedMedia_15x30.jpeg,Image,,6,1,TRUE,TRUE,"A portrait of my neice, made during the 2020 BLM uprising",,TRUE,,2020,Mixed Media with Milk and Tiger Lily Pollen on Maple,,"15"" x 30"" x 1""",Brooklyn,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
16,Everywhere There Are Angels [birdshit and blood stains on pavement],Fera_Lorde_EverywhereThereAreAngels_2020.JPG,Image,,5,1,TRUE,TRUE,Made during the 2020 BLM uprising,,TRUE,,2020,"Mixed Media with debris,blood,and tobacco on birch",,"24"" x 48"" x 2""",Brooklyn,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
17,"Hunger [is a catalyst, not an excuse]",Fera_Lorde_Lorde_hunger.jpg,Image,,7,1,TRUE,TRUE,A part of a series of meditations on death,,TRUE,,2018,"Mixed media with blood,spit,milk,and silver on birch",,"36"" round x 1.5""",Seattle and Brooklyn,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
18,Bloodshed in Heaven [the first brick],Fera_Lorde_TheFirstBrick_2020.jpeg,Image,,4,1,TRUE,TRUE,"A dedication to our ancestors at Stonewall, made during the 2020 BLM uprising",,TRUE,,2020,Mixed Media with Milk and Resin on Birch,,"24"" x 24"" x 1.5""",Brooklyn,,,,,English/N/A,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,5
19,Incentive,Fletcher_Fletcher5.jpeg,Image,,1,1,FALSE,FALSE,"BDSM ritual/ play still: a willing body in a hanging leather cage, and the possibility that reward might follow punishment",,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,"{bondage,captive}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,6
20,Lunch Hour 1,Fletcher_fletcher3.jpg,Image,,4,2,FALSE,FALSE,BDSM ritual/ play still: latex and power play,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,{latex},2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,6
21,Lunch Hour  4,Fletcher_fletcher12.jpg,Image,,7,2,FALSE,FALSE,BDSM ritual/ play still: blind consumption ,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,6
22,The Doll 2,Fletcher_Doll2.jpeg,Image,,3,2,FALSE,FALSE,BDSM ritual/ play still: lust gone feral,,TRUE,,2020,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,,,,,"{leather fetishist,human doll}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,6
23,Lunch Hour 2,Fletcher_fletcher4.jpg,Image,,5,2,FALSE,FALSE,BDSM ritual/ play still: latex and power play,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,{latex},2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,6
24,Lunch Hour 3,Fletcher_fletcher11.jpg,Image,,6,2,FALSE,FALSE,BDSM ritual/ play still: blind consumption ,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,6
25,The Doll 1,Fletcher_Doll1.jpeg,Image,,2,2,FALSE,FALSE,BDSM ritual/ play still: a gender adventurer in a pink leather hood,,TRUE,,2020,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,,,,,"{leather fetishist,human doll}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,6
26,Self Portrait ,Juniper_Juicy_self.jpg,Image,,1,1,TRUE,TRUE,"Thee Self Love Slut~ Juniper Juicy, has cum humanside 2 remind us all the power of play, pleasure, touching urself, & twerking like no1s watching~",,TRUE,,2020,photography,,N/A,,,,,,English,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
27,Window Troll,Juniper_Juicy_WindowTroll.jpg,Image,,8,1,TRUE,FALSE,Quarantine life has got us at the window hoping our neighbors are just as much voyeurs as we an exhibitionist ~ ,,TRUE,,2020,photography,,N/A,,,,,,English,Shot by ireallyhopeyouwin,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
28,Frosted Cake,Juniper_Juicy_FrostedCake.jpg,Image,,2,1,TRUE,FALSE,"Nothing better than a well frosted cake, & JJ has quite the method2 achieve this perfection~",,TRUE,,2019,photography & cakesits,,N/A,,,,,,English,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
29,Unboxing,Juniper_Juicy_Unboxing.jpg,Image,,6,2,TRUE,FALSE,Answer our riddles 3 & maybe U can peak what's underneath our bridge~,,TRUE,,2020,photography,,N/A,,,,,,English,Shot by ireallyhopeyouwin,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
30,Grapejob,Juniper_Juicy_GrapeJob.mp4,Video,https://vimeo.com/514145808/426b3830b6,7,2,TRUE,FALSE,"Size doesn't matter, its all about the vibe & the taste~ ",,TRUE,,2019,Soft food porn,,37 secs long,,,,,,English,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
31,Shower tease,Juniper_Juicy_ShowerTease.mp4,Video,https://vimeo.com/514145920/58642daba8,3,2,TRUE,FALSE,"As much as this troll fae loves a good mess, cleaning up can be quite fun 2~",,TRUE,,2019,"videography,solo erotic",,18 secs long,,,,,,English,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
32,A Mouthful,Juniper_Juicy_AMouthful.JPG,Image,,10,1,TRUE,FALSE,Do U think U have what it takes 2 push us 2 make this kinda mess?,,TRUE,,2019,photography,,N/A,,,,,,English,Shot by 1000EyesPhotography,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
